VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="wing_surface" I=3078
DATAPACKING=POINT
22.390726 0.279737 19.750000 
22.394256 0.290691 19.750000 
22.403541 0.301272 19.750000 
22.418565 0.311444 19.750000 
22.439304 0.321171 19.750000 
22.465726 0.330417 19.750000 
22.497787 0.339150 19.750000 
22.535437 0.347340 19.750000 
22.578619 0.354958 19.750000 
22.627263 0.361978 19.750000 
22.681295 0.368375 19.750000 
22.740630 0.374128 19.750000 
22.805176 0.379214 19.750000 
22.874834 0.383616 19.750000 
22.949494 0.387314 19.750000 
23.029041 0.390293 19.750000 
23.113352 0.392536 19.750000 
23.202296 0.394027 19.750000 
23.295736 0.394751 19.750000 
23.393525 0.394692 19.750000 
23.495513 0.393836 19.750000 
23.601542 0.392169 19.750000 
23.711446 0.389678 19.750000 
23.825057 0.386348 19.750000 
23.942196 0.382171 19.750000 
24.062684 0.377138 19.750000 
24.186333 0.371242 19.750000 
24.312952 0.364482 19.750000 
24.442346 0.356860 19.750000 
24.574314 0.348382 19.750000 
24.708653 0.339062 19.750000 
24.845157 0.328918 19.750000 
24.983615 0.317975 19.750000 
25.123814 0.306266 19.750000 
25.265540 0.293830 19.750000 
25.408577 0.280714 19.750000 
25.552704 0.266972 19.750000 
25.697702 0.252662 19.750000 
25.843351 0.237852 19.750000 
25.989429 0.222612 19.750000 
26.135712 0.207018 19.750000 
26.281980 0.191149 19.750000 
26.428009 0.175085 19.750000 
26.573578 0.158910 19.750000 
26.718466 0.142704 19.750000 
26.862452 0.126548 19.750000 
27.005318 0.110520 19.750000 
27.146847 0.094694 19.750000 
27.286822 0.079139 19.750000 
27.425030 0.063918 19.750000 
27.561260 0.049089 19.750000 
27.695303 0.034703 19.750000 
27.826955 0.020802 19.750000 
27.956012 0.007423 19.750000 
28.082277 -0.005406 19.750000 
28.205555 -0.017665 19.750000 
28.325655 -0.029337 19.750000 
28.442391 -0.040416 19.750000 
28.555584 -0.050899 19.750000 
28.665056 -0.060789 19.750000 
28.770639 -0.070092 19.750000 
28.872167 -0.078819 19.750000 
28.969484 -0.086984 19.750000 
29.062436 -0.094601 19.750000 
29.150879 -0.101687 19.750000 
29.234675 -0.108259 19.750000 
29.313694 -0.114333 19.750000 
29.387812 -0.119925 19.750000 
29.456913 -0.125051 19.750000 
29.520889 -0.129724 19.750000 
29.579641 -0.133957 19.750000 
29.633077 -0.137761 19.750000 
29.681114 -0.141146 19.750000 
29.723677 -0.144117 19.750000 
29.760700 -0.146683 19.750000 
29.792125 -0.148847 19.750000 
29.817903 -0.150613 19.750000 
29.837994 -0.151984 19.750000 
29.852367 -0.152963 19.750000 
29.861000 -0.153549 19.750000 
29.863879 -0.153745 19.750000 
24.625474 0.339834 23.179552 
24.628621 0.347074 23.179552 
24.636944 0.353902 23.179552 
24.650431 0.360289 23.179552 
24.669059 0.366211 23.179552 
24.692798 0.371643 23.179552 
24.721611 0.376563 23.179552 
24.755452 0.380952 23.179552 
24.794268 0.384789 23.179552 
24.837999 0.388061 23.179552 
24.886576 0.390751 23.179552 
24.939923 0.392848 23.179552 
24.997959 0.394342 23.179552 
25.060593 0.395224 23.179552 
25.127729 0.395486 23.179552 
25.199261 0.395122 23.179552 
25.275080 0.394128 23.179552 
25.355068 0.392497 23.179552 
25.439101 0.390228 23.179552 
25.527049 0.387315 23.179552 
25.618776 0.383755 23.179552 
25.714141 0.379547 23.179552 
25.812994 0.374687 23.179552 
25.915183 0.369175 23.179552 
26.020551 0.363009 23.179552 
26.128933 0.356191 23.179552 
26.240162 0.348722 23.179552 
26.354066 0.340608 23.179552 
26.470469 0.331855 23.179552 
26.589192 0.322474 23.179552 
26.710050 0.312478 23.179552 
26.832859 0.301886 23.179552 
26.957428 0.290718 23.179552 
27.083567 0.279001 23.179552 
27.211082 0.266766 23.179552 
27.339777 0.254049 23.179552 
27.469457 0.240889 23.179552 
27.599922 0.227331 23.179552 
27.730973 0.213424 23.179552 
27.862411 0.199219 23.179552 
27.994036 0.184772 23.179552 
28.125647 0.170140 23.179552 
28.257044 0.155382 23.179552 
28.388027 0.140557 23.179552 
28.518397 0.125727 23.179552 
28.647955 0.110950 23.179552 
