case_id,family,section,n1,n2,tc_target,x_tmax_target,te_target,tc_max,x_tmax,te_thickness,max_camber,area,t_xc_0.20,t_xc_0.30,t_xc_0.40,t_xc_0.50,t_xc_0.60,t_xc_0.70
coeff_upper_5_plus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.014730891790989367,0.13563921875528195,0.20681842909965772,0.22890068711458653,0.2236282869099666,0.1955891365830634,0.15131902981614068,0.10001596983797613
coeff_lower_0_minus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.01708199891477529,0.13492305995058432,0.20625637155592116,0.228868655355101,0.22344770008640466,0.19476351600273464,0.14990387644759762,0.09848291876407479
coeff_lower_0_plus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.012969205169806763,0.13611979701716298,0.2072548515122865,0.22892816556798118,0.2237911043655284,0.19634858951706685,0.152599966064114,0.10128261954883028
coeff_lower_1_minus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.017853898142063007,0.13658911247848693,0.207890514294709,0.22895049852224644,0.22386979710895472,0.19655073538028164,0.15273524214392464,0.10126026755611818
coeff_lower_1_plus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.011620943207044473,0.13456504700961128,0.20579519843266098,0.2288523341097466,0.22338921462423245,0.19460899895432202,0.14979259891614735,0.09848606411971879
coeff_lower_2_minus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.01685469123548477,0.13599739573752959,0.2066700933818426,0.22890404958932242,0.22370129026748176,0.19615364741961622,0.15265965898430095,0.1017930827011878
coeff_lower_2_plus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.23,0.3276785384127415,0.002,0.012977043725053372,0.13507396953336823,0.2068571097777555,0.2288919357791643,0.22352887370923488,0.1949184926896878,0.14979896756223257,0.09797008819387103
coeff_lower_3_minus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.015223955246336879,0.13499307636839125,0.20638594193344653,0.228877135134995,0.2234905848407583,0.19492426521678619,0.15013485887031072,0.09875213674828327
coeff_lower_3_plus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.01432352706689271,0.13609742951932197,0.20724648148827426,0.22892345609174256,0.22375752922080738,0.19618710523463126,0.15230642387438662,0.10089592613431025
coeff_lower_4_minus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.014763634975943504,0.1352042861524525,0.2067427445974588,0.22889554311614863,0.22358904339338867,0.19533165838594974,0.15066427064780016,0.09894445552598953
coeff_lower_4_plus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.014697607899354787,0.13591056842009175,0.2068886424602511,0.22890538970375995,0.22366330197779588,0.1958103504798427,0.15184859992606625,0.10079631229549489
coeff_lower_5_minus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.01473073670747057,0.1354911464940072,0.2068129832553263,0.22890026071502184,0.22362432031308704,0.19555577906337038,0.15120527497270483,0.09975299682177179
coeff_lower_5_plus,coeff,c1,0.5,1.0,0.23,0.33,0.002,0.22999999999999998,0.3276785384127415,0.002,0.014729447022436844,0.1356239004957089,0.20681786560730633,0.22890064300633656,0.2236278764270055,0.19558568503913018,0.15130726035873251,0.09998876351541597
