VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="wing_surface" I=3078
DATAPACKING=POINT
30.230686 1.264881 4.620622 
30.800033 1.153102 4.620622 
31.358078 1.048595 4.620622 
31.903959 0.951554 4.620622 
32.436835 0.862044 4.620622 
32.955885 0.780019 4.620622 
33.460311 0.705328 4.620622 
33.949335 0.637733 4.620622 
34.422207 0.576919 4.620622 
34.878198 0.522513 4.620622 
35.316608 0.474096 4.620622 
35.736763 0.431220 4.620622 
36.138017 0.393423 4.620622 
36.519755 0.360238 4.620622 
36.881390 0.331208 4.620622 
37.222366 0.305895 4.620622 
37.542159 0.283887 4.620622 
37.840279 0.264802 4.620622 
38.116266 0.248298 4.620622 
38.369698 0.234070 4.620622 
38.600185 0.221852 4.620622 
38.807371 0.211420 4.620622 
38.990940 0.202583 4.620622 
39.150607 0.195186 4.620622 
39.286129 0.189107 4.620622 
39.397296 0.184249 4.620622 
39.483937 0.180538 4.620622 
39.545918 0.177922 4.620622 
39.583146 0.176366 4.620622 
39.595561 0.175850 4.620622 
11.264229 0.000000 7.054945 
11.275047 0.152122 7.054945 
11.307527 0.303934 7.054945 
11.361619 0.455103 7.054945 
11.437240 0.605287 7.054945 
11.534273 0.754142 7.054945 
11.652568 0.901314 7.054945 
11.791943 1.046438 7.054945 
11.952184 1.189139 7.054945 
12.133042 1.329025 7.054945 
12.334239 1.465689 7.054945 
12.555466 1.598707 7.054945 
12.796381 1.727636 7.054945 
13.056612 1.852013 7.054945 
13.335758 1.971357 7.054945 
13.633389 2.085168 7.054945 
13.949046 2.192934 7.054945 
14.282243 2.294128 7.054945 
14.632465 2.388218 7.054945 
14.999173 2.474672 7.054945 
15.381801 2.552962 7.054945 
15.779760 2.622577 7.054945 
16.192435 2.683030 7.054945 
16.619191 2.733870 7.054945 
17.059369 2.774691 7.054945 
17.512291 2.805143 7.054945 
17.977259 2.824946 7.054945 
18.453555 2.833897 7.054945 
18.940446 2.831882 7.054945 
19.437180 2.818885 7.054945 
19.942992 2.794991 7.054945 
20.457101 2.760396 7.054945 
20.978715 2.715406 7.054945 
21.507029 2.660439 7.054945 
22.041229 2.596021 7.054945 
22.580491 2.522784 7.054945 
23.123984 2.441457 7.054945 
23.670869 2.352854 7.054945 
24.220303 2.257867 7.054945 
24.771438 2.157446 7.054945 
25.323425 2.052589 7.054945 
25.875413 1.944321 7.054945 
26.426550 1.833679 7.054945 
26.975986 1.721693 7.054945 
27.522874 1.609371 7.054945 
28.066371 1.497678 7.054945 
28.605639 1.387525 7.054945 
29.139845 1.279754 7.054945 
29.668166 1.175125 7.054945 
30.189788 1.074308 7.054945 
30.703905 0.977875 7.054945 
31.209726 0.886294 7.054945 
31.706471 0.799933 7.054945 
32.193372 0.719052 7.054945 
32.669680 0.643813 7.054945 
33.134660 0.574284 7.054945 
33.587596 0.510442 7.054945 
34.027788 0.452187 7.054945 
34.454558 0.399350 7.054945 
34.867248 0.351702 7.054945 
35.265222 0.308970 7.054945 
35.647867 0.270842 7.054945 
36.014591 0.236987 7.054945 
36.364831 0.207056 7.054945 
36.698045 0.180700 7.054945 
37.013720 0.157573 7.054945 
37.311370 0.137345 7.054945 
37.590536 0.119702 7.054945 
37.850786 0.104357 7.054945 
38.091720 0.091046 7.054945 
38.312967 0.079538 7.054945 
38.514185 0.069631 7.054945 
38.695064 0.061150 7.054945 
38.855325 0.053952 7.054945 
38.994721 0.047916 7.054945 
39.113037 0.042947 7.054945 
39.210091 0.038971 7.054945 
39.285733 0.035932 7.054945 
39.333458 0.033788 7.044642 
39.356861 0.032512 7.030093 
39.364645 0.032088 7.025238 
14.673577 -0.000000 9.875000 
14.680794 0.072201 9.875000 
14.701131 0.144122 9.875000 
14.734556 0.215590 9.875000 
14.781017 0.286432 9.875000 
14.840441 0.356473 9.875000 
14.912737 0.425537 9.875000 
14.997793 0.493446 9.875000 
15.095476 0.560020 9.875000 
15.205635 0.625074 9.875000 
15.328099 0.688420 9.875000 
15.462680 0.749863 9.875000 
15.609167 0.809204 9.875000 
15.767336 0.866238 9.875000 
15.936939 0.920752 9.875000 
16.117716 0.972526 9.875000 
16.309385 1.021336 9.875000 
16.511650 1.066952 9.875000 
16.724197 1.109141 9.875000 
16.946697 1.147670 9.875000 
17.178806 1.182306 9.875000 
17.420164 1.212824 9.875000 
17.670397 1.239008 9.875000 
17.929118 1.260654 9.875000 
18.195927 1.277579 9.875000 
18.470411 1.289624 9.875000 
18.752147 1.296660 9.875000 
